"","id","IV","g4q1","g4q2","g4q3","age","gender","hhi","ethnicity","hispanic","education","political_party","region","zip","g5sd1"
"68",68,"female","Yes.","10","Because everyone can forget but she was nice enough to complement us",32,"2","1","1","1","4","3","3","32148","Female"
"69",69,"female","Yes.","20","Choose",36,"2","16","1","1","2","2","3","77651","Female"
"70",70,"male","No, I don't.","","none",49,"2","19","1","1","2","2","3","27215","Female"
"71",71,"male","Yes.","7.00","We enjoyed the Meal",62,"2","4","15","14","6","3","2","60620","Female"
"72",72,"female","Yes.","7","It was a service and people are human ",63,"2","1","2","1","7","1","2","48076","Female"
"73",73,"female","Yes.","9","just less than 10",58,"2","16","1","1","8","1","3","32303","Female"
"74",74,"female","Yes.","10","Good service. Friendly",75,"2","19","1","1","6","3","2","55442","Female"
"75",75,"female","No, I don't.","","None ",64,"2","4","1","1","4","3","3","33147","Female"
"76",76,"male","Yes.","300","Because it benefits the company",27,"1","21","2","1","2","1","3","70460","Male"
"77",77,"female","Yes.","10","3-5",28,"1","14","1","1","2","3","4","86401","Male"
"78",78,"male","Yes.","10","Their base pay is low and everyone is human",53,"2","21","1","1","6","2","3","32011","Female"
"79",79,"male","Yes.","10","servers generally aren't paid well",65,"2","21","1","1","7","1","1","10463","Female"
"80",80,"male","No, I don't.","","because the service wasnt the best",31,"2","11","1","1","6","1","1","19335","Female"
"81",81,"male","Yes.","5","Guilty ",64,"1","1","1","1","6","2","2","53045","Male"
"82",82,"female","Yes.","12","She came back & apologized. Mistakes happen, & she's human just like I am.",31,"1","5","2","1","2","1","3","29150","Male"
"83",83,"male","Yes.","5.00","Nothing comes to mind right now ",47,"2","4","1","1","1","4","4","85713","Female"
"84",84,"male","No, I don't.","","He didn't earn it",32,"1","9","16","2","6","3","4","48228","Male"
"85",85,"female","Yes.","5","They were busy and made up for their mistake",28,"2","19","1","1","2","3","2","48503","Female"
"86",86,"female","No, I don't.","","She wasnt doing a good job.",60,"2","5","1","1","2","2","1","16313","Female"
"87",87,"female","No, I don't.","","Not sure",52,"2","4","2","1","3","1","2","44515","Female"
"88",88,"male","Yes.","7.50","Unless the server is really bad, I always tip.",72,"2","4","1","1","6","2","1","18328","Female"
"89",89,"female","Yes.","10","I give 20% ",58,"1","19","1","1","6","2","1","10304","Male"
"90",90,"female","Yes.","15","They was kind enough and very polite to correct their mistake ",32,"2","1","1","2","1","8","3","72176","Female"
"91",91,"female","Yes.","15","Depends on the service I receive",68,"1","11","1","1","2","1","1","15629","Female"
"92",92,"male","Yes.","10","Tip 10.  He got frree appetizers ",54,"2","2","1","1","5","3","1","08084","Female"
"93",93,"male","No, I don't.","","He forgot the order.  A tip is for exceptional service, going above and beyond, and it is not just for doing his job.",49,"2","11","1","1","7","2","2","43082","Female"
"94",94,"female","Yes.","13","Because they work hard to",60,"2","6","1","1","1","2","3","25514","Female"
"95",95,"male","Yes.","5.00","I just tip",62,"2","6","1","1","2","3","2","49677","Female"
"96",96,"male","Yes.","5","Na",28,"1","9","2","1","2","1","3","30577","Male"
"97",97,"male","Yes.","10","He was very nice he tried to help",75,"2","16","1","1","2","1","1","14706","Female"
"98",98,"male","Yes.","6","Because it’s the right thing to do ",45,"2","9","1","1","4","8","1","14618","Female"
"99",99,"male","Yes.","15","It’s the right thing to do.",51,"2","1","2","1","8","1","1","12603","Female"
"100",100,"female","Yes.","5","reasons",44,"1","14","1","1","6","3","2","60657","Male"
"101",101,"male","No, I don't.","","na",77,"1","18","1","1","5","2","3","78628","Male"
"102",102,"male","Yes.","20","i always tip unless it's an extreme circumstance",59,"2","15","1","1","5","2","1","07407","Female"
"103",103,"male","Yes.","10","Because he was very nice",59,"2","7","1","1","6","2","3","39426","Female"
"104",104,"male","Yes.","10","Because everyone makes these kinds of mistakes when in a hurry",51,"2","3","1","1","4","3","3","28399","Female"
"105",105,"female","Yes.","5.00","Tip",33,"2","7","1","1","2","2","3","36022","Female"
"106",106,"female","Yes.","10","Should always tip",24,"1","20","1","1","6","3","1","11768","Male"
"107",107,"female","Yes.","3","Bad sevice",52,"2","1","2","1","2","1","4","80211","Female"
"108",108,"male","Yes.","10","I always tipnbecause i know how hard they work ",30,"1","11","15","3","2","3","4","92084","Male"
"109",109,"female","Yes.","10","food was good and received on time",69,"2","2","1","1","2","2","4","85323","Female"
"110",110,"female","Yes.","10","Yes",54,"2","1","16","14","-3105","4","3","34771","Female"
"111",111,"male","Yes.","10","Kind person who made a mistake but fixed it",43,"2","4","1","1","4","2","2","64068","Female"
"112",112,"male","Yes.","5","that's what I do ",52,"1","6","2","1","2","1","3","23860","Female"
"113",113,"female","Yes.","10","Waiters make money off tips not their pay from restaurant ",53,"1","17","1","1","2","3","3","78634","Male"
"114",114,"male","Yes.","5.00","Because he was very nice and apologetic",73,"2","3","1","1","4","1","2","66043","Female"
"115",115,"female","Yes.","7.00","depends on my mood and surroundings",64,"2","4","1","1","4","2","2","54476","Female"
"116",116,"male","Yes.","15","Gratuity ",25,"2","5","2","1","4","1","3","33162","Female"
"117",117,"male","Yes.","15","Always tip",42,"1","5","1","1","6","2","2","56085","Male"
"118",118,"male","No, I don't.","","Bad service",71,"1","9","1","1","4","3","2","45740","Male"
"119",119,"female","No, I don't.","","Quality of service ",45,"1","5","1","1","2","7","3","31823","Male"
"120",120,"male","No, I don't.","","Depends on the quality of the product ",71,"2","9","1","1","4","1","1","45885","Female"
"121",121,"female","No, I don't.","","Because she forgot about us ",58,"2","3","1","1","4","1","3","30117","Female"
"122",122,"female","Yes.","5.00","effort",59,"1","5","1","1","4","2","2","49806","Male"
"123",123,"male","Yes.","20","Choose to tip because admitted his error",56,"1","14","1","1","4","2","2","60067","Male"
"124",124,"female","Yes.","5","He made anends on his mistake",58,"2","16","1","1","2","1","4","95354","Female"
"125",125,"female","Yes.","120","better",30,"1","15","1","1","7","1","1","11694","Male"
"126",126,"male","No, I don't.","","I was still tip I just give him a lesser amount",43,"2","2","2","1","4","1","3","33404","Female"
"127",127,"male","Yes.","10","I always tip",34,"2","7","2","1","4","3","1","19320","Female"
"128",128,"female","Yes.","10.00","I’ve worked in service and i understand how difficult it can be also the free appetizer is nice",19,"2","3","1","2","2","6","3","75409","Female"
"129",129,"male","Yes.","20.00","I chose because that is how servers make a part of their money ",35,"1","5","2","1","6","1","3","21207","Male"
"130",130,"female","Yes.","13","She made one mistake, not a big deal",50,"2","18","1","1","6","3","3","34606","Female"
"131",131,"male","Yes.","5","It's the right thing to do ",56,"1","3","2","1","6","1","3","24540","Male"
"132",132,"female","No, I don't.","","Don't know ",58,"2","2","1","1","2","4","1","02888","Female"
"133",133,"male","Yes.","10.00","Because it is right ",49,"2","3","1","1","5","3","3","31093","Female"
"134",134,"male","Yes.","12","Tipped less than normal for bad service",58,"1","24","1","1","6","2","3","20754","Male"
"135",135,"female","Yes.","5","Because people make mistakes. But he tried to compensate them for it",41,"2","3","1","1","4","1","3","23602","Female"
"136",136,"male","Yes.","5","On the quality of the service ",56,"1","3","1","1","6","2","2","44706","Male"
"137",137,"female","No, I don't.","","It all depends on my mood that day ",59,"2","1","2","1","2","1","1","02860","Female"
"138",138,"male","Yes.","10","everyone makes mistakes. he was hongave me an app to hold me over and was polite.est about his, ",72,"2","12","1","1","7","2","1","07727","Female"
"139",139,"male","Yes.","7","His helpfulness and the whole atmosphere ",56,"2","20","1","1","6","2","2","63780","Female"
"140",140,"female","Yes.","10","I don’t think I’ve ever not tipped someone but my tip ranges in the area of 15 to 25% depending on service",68,"2","19","1","1","7","2","2","44145","Female"
"141",141,"female","Yes.","7","She did the work and is relying on the tips ",61,"2","14","1","1","8","3","2","46260","Female"
"142",142,"male","Yes.","10.00","He took responsibility for his error",75,"2","19","1","1","4","3","3","33770","Female"
"143",143,"male","Yes.","10","Because he apologized and offered a appetizer ",38,"1","17","1","1","5","1","4","98201","Male"
"144",144,"male","Yes.","10","The decision to tip or not tip depends on the level of service received. ",63,"2","6","1","1","6","2","3","37766","Female"
"145",145,"male","No, I don't.","","Based on quality of service rendered.",55,"1","4","1","1","4","2","2","51501","Male"
"146",146,"female","No, I don't.","","I usually tip but if my order slipped her mind, the tip would slip mine.",33,"2","6","3","1","2","7","3","27804","Female"
"147",147,"male","Yes.","20","I always tip if the meal is good and the server is conscientious.  Dining out is also a time for visiting and relaxation, so the delay would not be too bothersome.  Not tipping might happen if server is rude or order is completely wrong.",79,"1","19","1","1","6","5","2","44805","Female"
"148",148,"male","Yes.","10","The waiter and the customer service ",45,"2","9","1","1","6","3","3","74467","Female"
"149",149,"male","Yes.","10","Mistakes happen ",64,"2","14","1","1","6","2","2","46055","Female"
"150",150,"female","Yes.","15","They fixed the wrong",43,"2","1","3","2","1","8","2","66106","Female"
"151",151,"female","Yes.","4","good service should get a tip",80,"2","3","1","1","8","2","2","46901","Male"
"152",152,"female","Yes.","10","good service",75,"2","10","1","1","4","3","3","76549","Female"
"153",153,"male","No, I don't.","","I have no any idea to answering this question and thank you for the question good luck",29,"1","21","1","1","6","2","4","98144","Male"
"154",154,"male","No, I don't.","","Maybe because of the servers work.",31,"1","1","2","1","2","2","3","30260","Male"
"155",155,"male","Yes.","10","Because the waiter was honest and made an offer to make up his mistake.",80,"2","6","1","1","6","3","2","46733","Female"
"156",156,"female","Yes.","10","I always tip, ",61,"1","14","1","1","5","1","3","32824","Male"
"157",157,"female","Yes.","7","Sure forgot about us but tried to make it up and was honest about it",46,"2","17","15","2","4","3","3","78253","Female"
"158",158,"male","Yes.","15","Because it's the right thing to do",40,"1","1","3","14","4","7","1","10453","Female"
"159",159,"female","Yes.","8","her means of payment",70,"2","3","1","1","6","3","3","28104","Female"
"160",160,"male","Yes.","18","He is a human being and everyone makes a mistake .",69,"1","18","1","1","5","2","3","34604","Male"
"161",161,"female","Yes.","10","It’s a common courtesy if the service was nice.",56,"1","9","2","1","4","7","3","23324","Male"
"162",162,"female","Yes.","15","14.88",30,"1","17","1","3","2","1","1","18015","Male"
"163",163,"female","Yes.","20"," my sever is humble",26,"2","20","1","1","8","1","2","60601","Female"
"164",164,"male","Yes.","10","I feel that since i enjoyed the food notwithstanding the delay and the kindness to make up for the wasted time is enough reason to tip.",28,"1","19","2","1","6","8","3","30033","Male"
"165",165,"female","Yes.","10","Was waitv staff in past",65,"2","14","1","1","4","1","2","55428","Female"
"166",166,"female","Yes.","10","If I get good service and the food is prepared how I like it, I always tip.",76,"1","9","1","1","4","3","2","48117","Male"
"167",167,"female","Yes.","5.00","She still tried to make up for her mistake ",51,"2","1","1","1","5","2","3","30145","Female"
"168",168,"male","Yes.","10","Tip for good service.  Don't tip for bad.",49,"2","10","1","1","6","1","4","95355","Female"
"169",169,"female","Yes.","10","It happens. No one is perfect and she made up for it",36,"1","23","7","2","8","3","3","70094","Male"
"170",170,"female","Yes.","5.00","It's  only right to tip. She  was very friendly and  apologetic. ",65,"2","2","2","1","4","1","3","33701","Female"
"171",171,"male","Yes.","15.00","His made up for the mistake ",58,"1","9","1","1","2","2","1","08759","Male"
"172",172,"male","No, I don't.","","I choose not to get because he didn't do his job",61,"1","2","1","1","2","1","3","37762","Male"
"173",173,"male","Yes.","200","I love to tip",24,"1","3","2","4","3","2","3","70058","Male"
"174",174,"female","Yes.","25","I have to show love ",24,"1","7","2","1","2","3","3","32244","Male"
"175",175,"male","Yes.","20","Tip is what they live off ",42,"2","1","15","16","2","2","3","32809","Female"
"176",176,"male","Yes.","20","service quality ",20,"2","3","2","1","2","3","2","44820","Female"
"177",177,"male","No, I don't.","","Service",65,"2","1","1","1","2","2","2","63125","Female"
"178",178,"female","Yes.","20","Good service ",65,"1","2","2","1","4","1","2","43232","Male"
"179",179,"female","Yes.","6.30","I choose depending on the server and the service.",54,"1","21","2","1","8","1","3","75670","Male"
"180",180,"female","Yes.","20","I always do",41,"1","14","1","1","2","2","1","07753","Male"
"181",181,"male","No, I don't.","","Tip",47,"2","8","15","16","2","1","1","06110","Female"
"182",182,"female","Yes.","10","There attitude ",18,"2","1","1","1","1","6","2","68756","Female"
"183",183,"male","No, I don't.","","Depends on how they way they treat me ",44,"2","1","1","1","2","1","3","33181","Female"
"184",184,"female","Yes.","10","No reason to not tip, mistakes happen.",32,"2","20","1","1","5","2","1","11815","Male"
"185",185,"male","Yes.","5","Because they work for tips",39,"1","13","1","1","2","5","1","04106","Male"
"186",186,"female","Yes.","7.5","I tip because she made it up to us but I didn't tip as much as I usually would. I tipped 15% instead of 25% to 30%. ",24,"2","17","2","1","4","1","3","20785","Female"
"187",187,"female","Yes.","8.00","I always do",70,"2","12","1","1","2","1","1","18302","Female"
"188",188,"male","Yes.","20","i always tip the waiter",18,"2","2","1","1","2","3","3","21801","Female"
"189",189,"male","Yes.","10","Service quality ",64,"1","21","1","12","6","2","1","11787","Male"
"190",190,"male","Yes.","15","Quality of service ",49,"1","19","1","1","4","1","3","79118","Male"
"191",191,"female","Yes.","10","She made up for the mistake and apologized",66,"1","19","1","1","6","2","3","40245","Male"
"192",192,"male","Yes.","10","He made it right",66,"1","6","1","1","2","3","3","33701","Male"
"193",193,"female","No, I don't.","","Service was lousy ",63,"2","3","1","1","6","1","1","19602","Female"
"194",194,"female","Yes.","10","I always tip regardless.",51,"1","11","1","1","2","1","1","12306","Male"
"195",195,"female","Yes.","10","Courteous service from the server.",62,"1","4","2","1","3","7","1","11208","Male"
"196",196,"female","Yes.","20","10",40,"1","22","1","1","7","2","1","02492","Male"
"197",197,"male","Yes.","5","He tried to make amends for his mistake ",73,"2","23","1","1","6","2","4","95765","Female"
"198",198,"male","Yes.","5","None",72,"1","6","1","1","6","1","4","98074","Male"
"199",199,"male","Yes.","8","They owned the issue and addressed it",50,"2","15","1","1","8","6","1","17815","Female"
"200",200,"female","Yes.","10.00","I choose to tip because our system unfortunately does not pay servers a living wage.",48,"1","13","1","1","5","1","3","30809","Male"
"201",201,"male","Yes.","10","they need to live too",67,"1","14","5","1","6","3","1","02155","Male"
"202",202,"male","Yes.","5","for work",56,"1","2","1","1","7","2","3","70511","Male"
"203",203,"male","Yes.","8","I chose to tip because accidents happen it’s not like he to totally forgot about me, he still came back and served me my food despite the delay and i was satisfied ",29,"1","12","2","1","5","3","1","17109","Female"
"204",204,"female","Yes.","7","i always tip because that's the way i am expecting to behave",56,"2","16","1","1","6","3","3","21030","Female"
"205",205,"female","Yes.","5.00","I'd tip because I know that job gets very hectic at times ",53,"2","2","1","1","3","2","3","25510","Female"
"206",206,"male","Yes.","7.50","It's the right thing to do. Servers don't get paid much outside of tips.",46,"2","12","1","1","6","1","3","19904","Female"
"207",207,"male","Yes.","9.00","Because things happen and servers live on tips",45,"1","9","1","1","5","3","2","46845","Male"
"208",208,"male","Yes.","10","I chose to tip because servers need to make a living too",70,"2","5","1","1","5","2","3","20639","Female"
"209",209,"female","Yes.","10","i always tip",62,"1","19","1","1","6","6","2","48362","Female"
"210",210,"male","Yes.","5","He deserves some thing ",55,"2","3","1","1","4","1","2","48141","Female"
"211",211,"female","Yes.","20","I have to give tips",76,"1","13","1","1","7","2","1","7010","Male"
"212",212,"female","Yes.","10","Because I understand that you get busy and can’t remember everything ",56,"2","3","1","1","2","2","3","37821","Female"
"213",213,"male","No, I don't.","","It depends on the service",67,"2","19","1","1","7","1","1","12553","Female"
"214",214,"male","Yes.","5.00","Because things happen people get busy I apologize and made up for it",39,"1","3","2","14","1","3","1","16503","Male"
"215",215,"female","Yes.","5","I always tip",74,"1","9","1","1","6","3","2","50111","Male"
"216",216,"male","Yes.","20","I choose to because he was very polite about my order and correct it quickly ",58,"2","1","2","1","4","3","3","38127","Female"
"217",217,"female","No, I don't.","","Because I enjoy the food ",32,"1","14","1","1","4","2","3","33127","Male"
"218",218,"female","Yes.","12","If the waiter is. Nice",67,"2","5","1","1","4","1","3","37033","Female"
"219",219,"male","No, I don't.","","I usually choose to tip because it’s a way to show appreciation for good service and support the hard work of service industry professionals. Tipping can make a significant difference for those whose income relies heavily on gratuities.",44,"1","17","1","1","6","6","1","02108","Male"
"220",220,"female","Yes.","10.00","I tip if the waiter is friendly ",31,"1","9","1","1","6","2","3","23224","Male"
